Dataset,Adaboost,kNN,Logistic Regression,Multinomial NB,Random Forest,SVM,Transformer,Mean,Complexity Class
NYR_10_and_AT,0.9982862117869042,0.756589795933406,0.9986265761532254,0.9774232385223702,0.9972493023542222,0.9986265761532254,1.0,0.9609716715576219,4
NYR_10_and_ATIS_Int,0.9978082085767314,0.6081985875569523,0.9992701908869572,1.0,0.9996351936044332,0.9985395948434624,0.9996351936044332,0.9432981384389958,4
NYR_115,0.0239304539935224,0.0301669839754468,0.0660490119240346,0.0501151715753423,0.0610446728069983,0.0715706561423983,0.0751801714988766,0.054008160273802765,0
NYR_115_and_AT,0.998981583087768,0.7174504072307863,0.9983014832272872,0.9704009120193232,0.9979610854846852,0.9986416489573076,0.9996609881535584,0.9544854440229594,4
NYR_115_and_ATIS_Int,0.997822197383616,0.6457765775801529,0.9996375088722904,0.9992748278859312,0.9996375088722904,0.9985488947445468,1.0,0.9486710736198324,4
PSC,0.6673988363339547,0.5750414385901368,0.7258149734875097,0.6706273639625244,0.7351975445074717,0.7172461021621157,0.5909317744111477,0.6688940047792657,2
PSC_and_AT,0.9990551446615276,0.5861682374407253,1.0,0.991103772887454,0.9990528667242464,1.0,1.0,0.9393400031019933,4
PSC_and_ATIS_Int,0.99701811755063,0.5403981820648488,1.0,0.9990039414542884,1.0,0.9990018291463032,1.0,0.9336317243165814,4
PSM,0.1553593584187244,0.0613535651621079,0.1834268840144727,0.2008470386361367,0.1531865796477792,0.1980631569004329,0.2011941860459201,0.16477582411793915,0
QC,0.7183349504376738,0.3914211468325686,0.8471193280618338,0.5456572569839924,0.8310504436489023,0.8084724131064761,0.9359586076730898,0.7254305923920767,3
RS,0.7416659490720807,0.6109323214371487,0.8333259255966932,0.7983058805226267,0.7849850684075284,0.7898856043846094,0.9113986475755828,0.78149991385661,3
RS_and_AT,0.9974847513047852,0.7061872336256307,0.9959729245379936,0.8895732571969811,0.9447453954496208,0.9974847513047852,1.0,0.9330640447742565,4
RS_and_ATIS_Int,0.9978879412190642,0.7627723602810108,0.9994722987303366,0.999472923864984,0.9989452231665688,0.9968243550915752,0.9984150139155792,0.9648271594670169,4
RS_and_LMRC,0.9789972993697208,0.0543082728311418,0.986550354657652,0.7109606549038686,0.9784090639364816,0.9772151873065312,0.9887109863402934,0.8107359741922412,3
RS_and_SST,0.7332348835271076,0.5298196425651023,0.8156369064496289,0.6163611810842772,0.6469821745575473,0.8018953901842798,0.8438908144324151,0.7125458561143369,3
SDC,0.2032667795620723,0.134977008172417,0.2790248644050746,0.2334262598139422,0.1860998592058712,0.2684325346047332,0.3243862554100216,0.2328019373105903,0
SDC_and_AT,0.9992251606680892,0.9387084739988268,0.9992243545553604,0.9904600822270896,0.9984478992529982,0.9992243545553604,1.0,0.989327189322532,4
SDC_and_ATIS_Int,0.9985463120679748,0.9608052711692944,0.999418739752908,0.9997094055859798,0.999418739752908,0.9991280023337196,0.9997094055859798,0.9938194108926807,4
SMSS,0.956447337828412,0.6815144647237995,0.9688909555917228,0.9257826388359004,0.9441451647708006,0.9688909555917228,0.9858348714430644,0.918786626969346,4
SNIPS,0.953241649302052,0.7219695075033975,0.9843430895748388,0.9643111001706708,0.9799476653949084,0.9786186658442808,0.9885679287237776,0.9387142295019896,4
SNIPS_and_AT,0.9981110973399708,0.8985299150776833,0.9994848143594072,0.9929574672190364,0.9986260517890748,0.9989696519524618,1.0,0.9838112853910906,4
SNIPS_and_ATIS_Int,0.9989905123300342,0.8282270078583313,0.9995960822126946,0.9977799306961734,0.9995961314059442,0.9993942339246936,0.9997980534134572,0.9747688502630468,4
SNIPS_and_ATIS_Int_and_ClassicLit,0.9728872131008932,0.4900042419322755,0.997474050667568,0.9896463878767352,0.9961927353345682,0.9957130273377336,0.9990645818826556,0.9201403197332042,4
SNIPS_and_ATIS_Int_and_PSC,0.9911192550287704,0.690470116677198,0.9981898769807191,0.9943062644027416,0.996584553178106,0.9960258356836454,0.999460264427662,0.9523080237684062,4
SNIPS_and_ATIS_Int_and_SST,0.921708528401489,0.8222001430867435,0.9892009651239082,0.9042916455050536,0.9877873173485237,0.9825076059321723,0.997209359627634,0.9435579378607891,4
SST,0.5671683667270239,0.6487667065300357,0.6582959328823991,0.627589529997549,0.6853937450483875,0.6874305,0.6894673127357135,0.6520160134173013,2
SST_2,0.8208244211023465,0.9049312000318674,0.9071444541298148,0.88632400043788,0.9252701254308972,0.936269,0.9472683397683398,0.904004505843021,4
SST_2_and_AT,0.9994300489117576,0.6352090784608829,0.9994298799236536,0.9481335797271062,0.9991459591831576,0.9990492359970512,1.0,0.940056826029087,4
SST_2_and_ATIS_Int,0.9977646436416434,0.995255414808466,0.9991308742947088,0.988667910856976,0.999503869020358,0.9977618690579046,0.9996281318689452,0.9968161019355718,4
SST_and_AT,0.997821235781266,0.592875815366647,0.9994567053348116,0.8772794634761978,0.9992753749399188,0.9992753749399188,0.9992758391271872,0.9236085441379924,4
SST_and_ATIS_Int,0.9984690307674784,0.9825580062380757,0.999058874918644,0.9546085651506762,0.9984703438436082,0.9959967857533064,0.9995302429618712,0.9898131213762371,4
SST_and_ClassicLit_and_LMRC,0.9102196306375788,0.2782358674556243,0.9898083379488156,0.8566938515353,0.9693829189583854,0.987125095164457,0.9959414302673149,0.8553438759953538,4
SST_and_LMRC,0.997143207885142,0.452364460388079,0.9982548264464248,0.8434809147538417,0.996379908893602,0.9968055262852232,0.9987977529739148,0.8976037996608897,4
SST_and_SST_2,0.4600816982254271,0.4295712951337764,0.4751317098011269,0.5266697490400404,0.3444049163423046,0.372153,0.3999013889121024,0.42970196535068256,1
TE,0.1195661451799945,0.0971504317449777,0.1562146704583865,0.1320092409794721,0.1338854300806324,0.153344040775149,0.1819683779938879,0.13916261960178572,0
TE_and_AT,0.9992989886825504,0.8081145484346937,0.9992989886825504,0.8645198801343295,0.9956859977468682,0.9991820644666772,0.9997664819050188,0.9522667071503841,4
TE_and_ATIS_Int,0.9973822335391194,0.9720252274117648,0.9994171149626262,0.9579109405103332,0.9991259629646392,0.9962250258378014,0.9995629088704748,0.9888070591566799,4
TE_and_NYR_10,0.9960661058511596,0.8033915779389731,0.9954922962727454,0.7070186017394994,0.9926491776228604,0.9966251405722854,0.9997201077101884,0.9272804296725302,4
YELP_0_05,0.4312743696677463,0.2088288013745907,0.4503715264257056,0.4328236963286215,0.4020197260502073,0.433623917043033,0.5407299064988156,0.4142388490555314,1
YTS,0.9586680761099364,0.7941021590310691,0.9716526610644256,0.8847174447174446,0.961344537815126,0.9382794001578532,0.979264994431776,0.9268613247610901,4
